date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:44:46	45/45	---MCZ	200	added ('OK')	text/plain	etag:W/%22e-5c01b2e3a6ac3-br%22	https://preview.colorlib.com/robots.txt		(from )
15:44:47	35347/35347	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Jun%202020%2003:16:26%20GMT	https://preview.colorlib.com/theme/djoz/	C:/Users/USUARIO/Documents/PROYECTOS/prueba2/preview.colorlib.com/theme/djoz/index.html	(from )
15:44:47	20326/20326	---M-Z	200	added ('OK')	text/css	etag:%224f66-5c1f9b958121e-gzip%22	https://preview.colorlib.com/theme/djoz/css/bootstrap.min.css	C:/Users/USUARIO/Documents/PROYECTOS/prueba2/preview.colorlib.com/theme/djoz/css/bootstrap.min.css	(from https://preview.colorlib.com/theme/djoz/)
15:44:48	1628/1628	---M-Z	200	added ('OK')	text/css	etag:%2265c-5c1f9b95821be-gzip%22	https://preview.colorlib.com/theme/djoz/css/font-awesome.min.css	C:/Users/USUARIO/Documents/PROYECTOS/prueba2/preview.colorlib.com/theme/djoz/css/font-awesome.min.css	(from https://preview.colorlib.com/theme/djoz/)
15:44:48	834/834	---M-Z	200	added ('OK')	text/css	etag:%22342-5c1f9b958121e-gzip%22	https://preview.colorlib.com/theme/djoz/css/barfiller.css	C:/Users/USUARIO/Documents/PROYECTOS/prueba2/preview.colorlib.com/theme/djoz/css/barfiller.css	(from https://preview.colorlib.com/theme/djoz/)
15:44:48	993/993	---M-Z	200	added ('OK')	text/css	etag:%223e1-5c1f9b95821be-gzip%22	https://preview.colorlib.com/theme/djoz/css/nowfont.css	C:/Users/USUARIO/Documents/PROYECTOS/prueba2/preview.colorlib.com/theme/djoz/css/nowfont.css	(from https://preview.colorlib.com/theme/djoz/)
15:44:49	187/187	---M-Z	200	added ('OK')	text/css	etag:%22bb-5c1f9b95821be-gzip%22	https://preview.colorlib.com/theme/djoz/css/rockville.css	C:/Users/USUARIO/Documents/PROYECTOS/prueba2/preview.colorlib.com/theme/djoz/css/rockville.css	(from https://preview.colorlib.com/theme/djoz/)
15:44:49	4213/4213	---M-Z	200	added ('OK')	text/css	etag:%221075-5c1f9b95821be-gzip%22	https://preview.colorlib.com/theme/djoz/css/magnific-popup.css	C:/Users/USUARIO/Documents/PROYECTOS/prueba2/preview.colorlib.com/theme/djoz/css/magnific-popup.css	(from https://preview.colorlib.com/theme/djoz/)
15:44:49	3303/3303	---M-Z	200	added ('OK')	text/css	etag:%22ce7-5c1f9b95821be-gzip%22	https://preview.colorlib.com/theme/djoz/css/owl.carousel.min.css	C:/Users/USUARIO/Documents/PROYECTOS/prueba2/preview.colorlib.com/theme/djoz/css/owl.carousel.min.css	(from https://preview.colorlib.com/theme/djoz/)
15:44:50	2506/2506	---M-Z	200	added ('OK')	text/css	etag:%229ca-5c2201a60e0db-gzip%22	https://preview.colorlib.com/theme/djoz/css/slicknav.min.css	C:/Users/USUARIO/Documents/PROYECTOS/prueba2/preview.colorlib.com/theme/djoz/css/slicknav.min.css	(from https://preview.colorlib.com/theme/djoz/)
15:44:50	44962/44962	---M-Z	200	added ('OK')	text/css	etag:%22afa2-5c1f9b95821be-gzip%22	https://preview.colorlib.com/theme/djoz/css/style.css	C:/Users/USUARIO/Documents/PROYECTOS/prueba2/preview.colorlib.com/theme/djoz/css/style.css	(from https://preview.colorlib.com/theme/djoz/)
15:44:51	35347/35347	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Jun%202020%2003:16:26%20GMT	https://preview.colorlib.com/theme/djoz/index.html	C:/Users/USUARIO/Documents/PROYECTOS/prueba2/preview.colorlib.com/theme/djoz/index-2.html	(from https://preview.colorlib.com/theme/djoz/)
15:44:51	1034/1034	---M--	200	added ('OK')	image/png	etag:%2240a-5a802be520300%22	https://preview.colorlib.com/theme/djoz/img/logo.png	C:/Users/USUARIO/Documents/PROYECTOS/prueba2/preview.colorlib.com/theme/djoz/img/logo.png	(from https://preview.colorlib.com/theme/djoz/)
15:44:51	15750/15750	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Jun%202020%2003:16:24%20GMT	https://preview.colorlib.com/theme/djoz/about.html	C:/Users/USUARIO/Documents/PROYECTOS/prueba2/preview.colorlib.com/theme/djoz/about.html	(from https://preview.colorlib.com/theme/djoz/)
15:44:51	13270/13270	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Jun%202020%2003:16:26%20GMT	https://preview.colorlib.com/theme/djoz/discography.html	C:/Users/USUARIO/Documents/PROYECTOS/prueba2/preview.colorlib.com/theme/djoz/discography.html	(from https://preview.colorlib.com/theme/djoz/)
15:44:52	14651/14651	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Jun%202020%2003:16:29%20GMT	https://preview.colorlib.com/theme/djoz/tours.html	C:/Users/USUARIO/Documents/PROYECTOS/prueba2/preview.colorlib.com/theme/djoz/tours.html	(from https://preview.colorlib.com/theme/djoz/)
15:44:52	14165/14165	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Jun%202020%2003:16:29%20GMT	https://preview.colorlib.com/theme/djoz/videos.html	C:/Users/USUARIO/Documents/PROYECTOS/prueba2/preview.colorlib.com/theme/djoz/videos.html	(from https://preview.colorlib.com/theme/djoz/)
15:44:52	19700/19700	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Jun%202020%2003:16:25%20GMT	https://preview.colorlib.com/theme/djoz/blog.html	C:/Users/USUARIO/Documents/PROYECTOS/prueba2/preview.colorlib.com/theme/djoz/blog.html	(from https://preview.colorlib.com/theme/djoz/)
15:44:52	22690/22690	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Jun%202020%2003:16:24%20GMT	https://preview.colorlib.com/theme/djoz/blog-details.html	C:/Users/USUARIO/Documents/PROYECTOS/prueba2/preview.colorlib.com/theme/djoz/blog-details.html	(from https://preview.colorlib.com/theme/djoz/)
